"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Buster Posey","Giants","130","547","486","146","28","2","18","66","75","50","69","4","2","1",".300",".367",".474",".841",".367","3.6","-0.6","5.8","9166"
"Carlos Santana","Indians","148","623","518","128","29","1","23","75","81","96","115","3","4","2",".247",".366",".437",".803",".356","-1.7","-0.7","2.9","2396"
"Jonathan Lucroy","Brewers","121","510","459","132","29","3","13","59","63","43","61","3","5","2",".287",".349",".444",".793",".349","3.8","-0.3","3.8","7870"
"Michael McKenry","Rockies","46","192","172","46","10","0","7","21","25","17","41","2","1","1",".270",".338",".453",".791",".348","-1.8","-0.4","0.9","9628"
"Wilin Rosario","Rockies","75","314","295","81","16","1","14","37","46","15","64","1","2","1",".275",".310",".474",".784",".340","-3.2","-0.3","0.7","8002"
"Devin Mesoraco","Reds","107","448","400","100","21","0","20","52","64","38","93","6","2","2",".251",".322",".453",".775",".338","0.5","-0.8","3.1","5666"
"Joe Mauer","Twins","142","595","519","147","31","2","8","68","63","70","103","2","3","2",".284",".369",".397",".766",".338","2.4","-0.8","2.3","1857"
"Yadier Molina","Cardinals","107","448","410","118","25","0","10","45","50","28","51","4","3","2",".288",".337",".420",".757",".332","9.1","-0.4","4.0","7007"
"Yasmani Grandal","Dodgers","107","451","389","94","20","1","15","54","58","54","107","3","2","1",".242",".336",".411",".747",".331","-2.9","-0.4","2.7","11368"
"Russell Martin","Blue Jays","123","518","444","106","21","0","17","57","66","58","111","10","6","4",".239",".338",".404",".742",".331","6.4","-0.7","3.8","4616"
"Evan Gattis","Astros","140","587","542","133","27","2","29","68","82","32","135","9","2","1",".246",".296",".463",".759",".330","-1.3","-0.6","1.4","11003"
"Yan Gomes","Indians","114","480","443","117","24","3","17","56","63","26","111","5","1","0",".263",".308",".446",".754",".330","4.2","-0.3","4.0","9627"
"Brian McCann","Yankees","123","518","468","117","17","1","23","59","74","41","82","5","1","1",".250",".315",".437",".752",".330","0.7","-0.6","3.1","4810"
"Wilson Ramos","Nationals","107","448","415","111","17","0","18","47","63","27","68","2","1","1",".268",".314",".439",".753",".329","1.7","-0.7","3.0","1433"
"Travis d'Arnaud","Mets","122","512","466","118","25","2","18","59","63","38","90","4","2","1",".253",".312",".434",".746",".326","-7.1","-0.3","2.7","7739"
"Peter O'Brien","Diamondbacks","6","26","24","6","1","0","1","3","4","1","8","0","0","0",".236",".278",".473",".751",".326","-0.5","0.0","0.1","sa577327"
"John Jaso","Rays","113","474","411","102","21","3","10","54","47","51","83","7","3","2",".249",".339",".387",".726",".325","-1.1","-0.5","1.1","5887"
"Matt Wieters","Orioles","116","486","438","109","22","0","18","54","63","40","88","2","2","1",".249",".311",".423",".733",".322","3.7","-0.3","2.9","4298"
"Salvador Perez","Royals","122","512","483","133","25","2","14","53","64","21","65","3","1","0",".276",".308",".423",".731",".320","6.4","-0.5","3.7","7304"
"Derek Norris","Padres","99","416","361","85","17","1","11","44","43","48","92","3","4","2",".235",".328",".383",".711",".319","-2.5","-0.3","2.3","6867"
"Josmil Pinto","Twins","88","370","332","82","17","1","11","41","40","32","77","2","1","1",".247",".316",".400",".716",".318","-1.1","-0.5","1.0","6806"
"Alex Avila","Tigers","99","416","356","82","18","1","11","42","45","53","124","2","1","1",".230",".331",".376",".707",".318","0.8","-0.5","2.4","7476"
"Carlos Ruiz","Phillies","107","448","397","104","24","0","7","45","44","35","60","11","3","2",".261",".335",".377",".712",".317","2.5","-0.3","2.6","2579"
"Chris Iannetta","Angels","107","448","374","84","18","0","10","46","45","63","112","6","3","2",".225",".341",".356",".697",".316","-3.4","-0.5","2.5","8267"
"Nick Hundley","Rockies","69","288","265","69","14","1","8","30","37","17","66","2","2","1",".260",".307",".413",".721",".316","-0.5","-0.4","0.8","3376"
"Dioner Navarro","Blue Jays","63","265","243","64","11","0","7","26","32","18","39","1","1","0",".264",".315",".398",".713",".314","-0.7","-0.2","0.7","3179"
"Welington Castillo","Cubs","23","96","86","21","4","0","3","9","10","7","23","2","0","0",".244",".313",".392",".705",".314","-0.2","-0.1","0.4","3256"
"Miguel Montero","Cubs","99","416","361","88","17","1","9","39","47","45","87","6","1","1",".245",".335",".371",".706",".314","1.1","-0.8","2.0","3364"
"Jason Castro","Astros","96","403","361","85","19","2","11","43","45","34","109","4","1","0",".236",".306",".393",".700",".310","-1.0","-0.3","2.0","8722"
"Stephen Vogt","Athletics","107","448","414","106","20","3","11","46","50","28","67","1","1","1",".255",".303",".398",".701",".308","-1.2","-0.5","2.3","5000"
"Jarrod Saltalamacchia","Marlins","107","448","397","91","22","1","14","46","49","44","137","2","2","1",".228",".305",".390",".696",".308","-5.7","-0.5","1.4","5557"
"Jesus Montero","Mariners","15","63","58","14","3","0","2","7","7","4","13","0","0","0",".249",".297",".404",".701",".307","-0.1","-0.1","0.0","5514"
"Ryan Hanigan","Red Sox","49","205","177","43","8","0","3","19","20","22","28","3","1","0",".245",".335",".341",".676",".302","2.1","-0.2","1.1","4952"
"Francisco Cervelli","Pirates","91","384","343","85","17","2","4","37","33","28","76","9","4","1",".248",".319",".344",".663",".300","-1.7","0.0","1.5","5275"
"A.J. Ellis","Dodgers","46","192","163","37","7","0","3","17","19","23","36","2","0","0",".227",".329",".334",".662",".299","0.6","-0.3","0.8","5677"
"Robinson Chirinos","Rangers","107","448","406","96","19","1","13","47","46","29","93","6","2","1",".235",".294",".377",".672",".299","1.8","-0.5","1.8","3142"
"Kurt Suzuki","Twins","99","416","378","97","22","0","5","37","43","26","50","5","1","1",".257",".312",".360",".672",".298","-1.8","-0.5","1.5","8259"
"Mike Zunino","Mariners","114","480","438","96","19","2","19","56","58","26","138","10","2","2",".219",".276",".398",".675",".297","1.0","-0.7","2.3","13265"
"Ryan Doumit"," ","80","338","309","74","16","1","9","32","38","23","71","2","2","1",".238",".293",".382",".675",".297","-0.8","-0.1","0.2","2113"
"Hank Conger","Astros","53","224","202","47","10","0","6","22","23","17","49","2","1","1",".233",".298",".368",".666",".297","-0.4","-0.4","0.9","2505"
"Tyler Flowers","White Sox","76","320","291","64","12","1","12","32","34","21","108","5","1","1",".219",".282",".384",".666",".296","-0.8","-0.3","1.1","9134"
"Andrew Susac","Giants","30","126","112","25","5","0","3","13","12","12","33","1","0","0",".226",".304",".347",".651",".294","0.2","-0.1","0.5","13132"
"Jose Lobaton","Nationals","38","158","142","34","7","0","2","14","14","14","36","1","0","1",".237",".306",".346",".651",".292","-0.1","-0.3","0.4","4243"
"Austin Barnes","Dodgers","8","32","29","7","1","0","1","3","3","2","5","0","0","0",".236",".301",".349",".650",".292","0.0","0.0","0.1","sa578958"
"Erik Kratz","Royals","23","96","88","21","4","0","3","10","11","6","19","1","0","0",".233",".283",".383",".666",".292","0.1","-0.1","0.4","4403"
"Geovany Soto","White Sox","46","192","172","37","8","0","6","20","21","16","52","1","1","1",".216",".286",".368",".654",".291","-0.2","-0.3","0.6","3707"
"Steve Clevenger","Orioles","24","102","93","23","5","0","1","10","9","7","16","0","0","0",".249",".303",".349",".652",".291","-0.3","-0.1","0.0","9542"
"JR Murphy","Yankees","30","128","118","27","6","0","3","13","13","8","26","1","0","0",".232",".282",".373",".655",".290","-0.5","-0.1","0.4","10346"
"Christian Vazquez","Red Sox","91","384","346","86","18","0","5","39","34","29","70","2","3","2",".247",".307",".340",".647",".290","3.8","-0.7","1.6","9774"
"Carlos Corporan","Rangers","38","160","145","33","6","0","4","16","17","10","37","3","0","0",".230",".289",".360",".649",".289","-0.6","-0.1","0.4","5587"
"Blake Swihart","Red Sox","12","51","48","12","3","0","1","5","5","3","10","0","1","0",".244",".286",".367",".653",".289","0.4","-0.1","0.2","sa597790"
"Kevan Smith","White Sox","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".230",".287",".361",".648",".288","0.0","0.0","0.0","sa599392"
"Tony Sanchez","Pirates","15","64","58","13","3","0","2","6","7","5","16","1","0","0",".223",".287",".357",".644",".288","-0.6","-0.1","0.1","6178"
"J.P. Arencibia","Orioles","8","32","30","6","1","0","1","3","4","2","9","0","0","0",".213",".260",".396",".656",".288","-0.3","0.0","0.1","697"
"Josh Thole","Blue Jays","8","32","29","7","1","0","0","3","3","3","5","0","0","0",".244",".308",".337",".645",".288","-0.4","-0.1","0.0","9689"
"Josh Phegley","Athletics","46","192","179","42","9","1","5","21","24","8","34","2","1","0",".234",".273",".380",".653",".288","0.3","-0.1","0.8","9308"
"J.T. Realmuto","Marlins","23","96","88","21","4","1","1","10","9","6","17","1","2","1",".239",".290",".351",".640",".285","0.2","0.0","0.3","11739"
"Martin Maldonado","Brewers","53","224","201","44","8","0","6","20","25","16","57","4","1","1",".221",".287",".349",".636",".285","1.3","-0.4","0.6","6887"
"Tommy Joseph","Phillies","15","64","59","13","2","0","2","7","7","3","14","1","0","0",".221",".266",".377",".643",".284","-1.0","-0.1","0.1","sa500806"
