"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Miguel Cabrera","Tigers","143","602","529","165","35","1","29","85","100","64","97","3","2","1",".312",".386",".545",".931",".399","0.1","-0.5","5.0","1744"
"Jose Abreu","White Sox","142","595","524","153","28","1","35","85","95","57","117","9","3","3",".292",".369",".549",".918",".395","-1.3","-1.1","4.3","15676"
"Paul Goldschmidt","Diamondbacks","158","665","569","161","39","2","31","95","99","87","150","4","14","5",".282",".378",".522",".900",".388","4.6","0.1","5.1","9218"
"Joey Votto","Reds","138","580","466","130","29","1","19","75","64","103","115","5","5","3",".279",".411",".467",".878",".384","3.5","-0.9","4.3","4314"
"Edwin Encarnacion","Blue Jays","150","630","548","147","29","1","34","87","104","72","89","5","5","2",".268",".357",".512",".869",".376","-0.5","-0.1","3.7","2151"
"Anthony Rizzo","Cubs","156","655","570","154","33","2","31","90","94","71","124","9","6","5",".270",".358",".498",".856",".373","7.1","-1.1","4.6","3473"
"Freddie Freeman","Braves","153","644","557","159","33","3","22","86","84","74","129","7","3","2",".285",".374",".475",".849",".372","0.8","-0.8","3.9","5361"
"Steve Pearce","Orioles","125","525","460","123","27","0","22","66","69","52","105","7","5","2",".266",".347",".472",".819",".359","1.7","-0.3","3.0","9957"
"Prince Fielder","Rangers","142","595","509","138","27","0","22","70","76","71","98","9","1","1",".270",".368",".454",".822",".357","-5.0","-0.7","1.9","4613"
"Justin Morneau","Rockies","125","525","476","139","29","2","17","61","77","37","74","6","1","1",".293",".348",".470",".817",".356","2.4","-0.7","1.5","1737"
"Carlos Santana","Indians","148","623","518","128","29","1","23","75","81","96","115","3","4","2",".247",".366",".437",".803",".356","-1.7","-0.7","2.9","2396"
"Adam Lind","Brewers","138","579","520","146","27","2","20","66","77","53","104","2","1","0",".281",".347",".457",".804",".352","-1.7","-0.5","2.1","8027"
"Brandon Moss","Indians","123","518","456","110","22","2","28","66","77","51","150","7","2","1",".242",".325",".479",".805",".351","-1.5","-0.4","2.5","4467"
"Mike Napoli","Red Sox","133","560","474","115","24","1","23","66","70","76","163","6","3","2",".242",".352",".440",".792",".351","4.4","-0.6","2.7","3057"
