"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"5","Clayton Kershaw","pitcher","2036",232,2.29,0.99,0,18,261,14.09,39.69
"13","Max Scherzer","pitcher","3137",211,2.77,1.07,0,16,245,10.72,30.19
"10","Felix Hernandez","pitcher","4772",217,2.78,1.06,0,15,224,10.33,29.09
"26","Chris Sale","pitcher","10603",216,2.92,1.08,0,15,244,10.22,28.79
"27","Madison Bumgarner","pitcher","5524",221,2.88,1.09,0,16,219,10.08,28.39
"17","Corey Kluber","pitcher","2429",212,3.06,1.11,0,15,226,9.16,25.81
"22","Stephen Strasburg","pitcher","10131",191,2.97,1.1,0,14,211,8.29,23.36
"117","Johnny Cueto","pitcher","6893",205,3.09,1.12,0,15,190,8.1,22.81
"47","David Price","pitcher","3184",220,3.45,1.15,0,15,209,7.86,22.14
"35","Zack Greinke","pitcher","1943",202,3.05,1.12,0,14,189,7.82,22.02
"53","Jon Lester","pitcher","4930",214,3.19,1.17,0,15,199,7.78,21.92
"90","Masahiro Tanaka","pitcher","15764",211,3.44,1.12,0,14,194,7.46,21.01
"1","Aroldis Chapman","pitcher","10233",65,1.6,0.92,39,5,115,7.4,20.85
"42","James Shields","pitcher","7059",217,3.22,1.16,0,12,196,7.1,19.99
"89","Cole Hamels","pitcher","4972",216,3.4,1.16,0,12,209,7,19.73
"36","Adam Wainwright","pitcher","2233",197,3.15,1.14,0,14,166,6.86,19.32
"2","Craig Kimbrel","pitcher","6655",65,1.78,0.96,39,4,100,6.62,18.64
"97","Hisashi Iwakuma","pitcher","13048",204,3.41,1.12,0,13,169,6.6,18.59
"63","Jordan Zimmermann","pitcher","4505",191,3.22,1.13,0,13,160,6.32,17.82
"45","Phil Hughes","pitcher","7450",204,3.7,1.15,0,14,174,6.13,17.28
"50","Hyun-Jin Ryu","pitcher","14444",188,3.27,1.16,0,13,168,6.04,17.02
"81","Alex Cobb","pitcher","6562",197,3.34,1.22,0,13,175,5.66,15.95
"30","Matt Harvey","pitcher","11713",173,3.06,1.13,0,10,174,5.65,15.92
"4","Greg Holland","pitcher","7196",65,2.21,1.04,37,4,89,5.61,15.81
"16","Koji Uehara","pitcher","9227",65,2.47,0.97,36,5,76,5.55,15.65
"6","Jake McGee","pitcher","7550",65,2.38,1.03,38,4,81,5.53,15.59
"19","Trevor Rosenthal","pitcher","10745",65,2.66,1.16,42,4,82,5.53,15.57
"208","Julio Teheran","pitcher","6797",197,3.5,1.18,0,12,173,5.51,15.52
"8","Mark Melancon","pitcher","4264",65,2.56,1.07,40,4,63,5.22,14.71
"12","Joaquin Benoit","pitcher","1437",65,2.5,1.06,37,4,78,5.17,14.56
"173","Matt Shoemaker","pitcher","4776",196,3.69,1.18,0,13,159,5.14,14.49
"174","Jeff Samardzija","pitcher","3254",208,3.9,1.23,0,12,202,5.07,14.27
"18","Steve Cishek","pitcher","6483",65,2.87,1.17,39,5,73,5.03,14.16
"134","Lance Lynn","pitcher","2520",183,3.47,1.25,0,13,170,4.82,13.57
"65","Gerrit Cole","pitcher","13125",177,3.44,1.21,0,12,164,4.76,13.4
"176","Doug Fister","pitcher","9425",192,3.51,1.2,0,13,135,4.69,13.21
"222","Justin Verlander","pitcher","8700",209,3.9,1.27,0,14,178,4.67,13.16
"180","Ian Kennedy","pitcher","6986",200,3.71,1.25,0,11,194,4.66,13.14
"40","Cody Allen","pitcher","12183",65,3.05,1.19,38,4,79,4.59,12.94
"214","Homer Bailey","pitcher","8362",185,3.6,1.19,0,11,163,4.57,12.89
"152","John Lackey","pitcher","1507",184,3.61,1.19,0,12,151,4.55,12.82
"140","Sonny Gray","pitcher","12768",198,3.56,1.28,0,13,167,4.54,12.8
"79","Alex Wood","pitcher","13781",174,3.38,1.21,0,11,164,4.54,12.79
"57","Francisco Liriano","pitcher","3201",169,3.39,1.26,0,12,176,4.49,12.65
"96","Drew Storen","pitcher","6983",65,3.31,1.19,43,3,58,4.48,12.62
"256","Mike Fiers","pitcher","7754",169,3.77,1.17,0,12,163,4.46,12.58
"226","Collin McHugh","pitcher","7531",192,3.81,1.24,0,12,177,4.4,12.39
"51","Fernando Rodney","pitcher","494",65,3.22,1.26,40,4,70,4.36,12.3
"58","Hector Rondon","pitcher","2391",65,3.34,1.21,40,4,64,4.34,12.24
"422","Jered Weaver","pitcher","4235",204,3.91,1.24,0,13,157,4.24,11.95
"67","Tyson Ross","pitcher","7872",169,3.36,1.24,0,11,165,4.23,11.93
"159","Dallas Keuchel","pitcher","9434",215,3.78,1.29,0,13,160,4.13,11.63
"187","Scott Kazmir","pitcher","4897",177,3.68,1.22,0,12,153,4.09,11.51
"78","Jonathan Papelbon","pitcher","5975",65,3.27,1.15,36,4,63,4,11.28
"166","Huston Street","pitcher","8258",65,3.35,1.17,37,4,61,3.99,11.25
"223","Francisco Rodriguez","pitcher","1642",65,3.6,1.22,38,4,69,3.99,11.24
"52","Brett Cecil","pitcher","2660",65,3.25,1.23,36,4,75,3.99,11.24
"311","CC Sabathia","pitcher","404",210,4.12,1.25,0,12,177,3.99,11.23
"11","Dellin Betances","pitcher","6216",65,2.52,1.11,30,3,88,3.96,11.16
"49","Garrett Richards","pitcher","9784",157,3.29,1.21,0,11,142,3.9,10.98
"85","Brandon McCarthy","pitcher","4662",167,3.64,1.18,0,11,141,3.84,10.81
"23","Jose Fernandez","pitcher","11530",129,2.87,1.14,0,9,141,3.75,10.56
"104","Gio Gonzalez","pitcher","7448",162,3.48,1.25,0,11,159,3.74,10.55
"71","Anibal Sanchez","pitcher","3284",163,3.6,1.2,0,11,145,3.73,10.51
"32","Glen Perkins","pitcher","8041",65,3.15,1.14,34,3,70,3.71,10.46
"482","R.A. Dickey","pitcher","1245",209,4.1,1.28,0,13,164,3.68,10.37
"192","Rick Porcello","pitcher","2717",196,3.83,1.26,0,13,137,3.67,10.34
"7","Sean Doolittle","pitcher","1581",55,2.3,0.99,28,4,67,3.64,10.24
"206","Jake Peavy","pitcher","1051",171,3.52,1.2,0,10,138,3.6,10.14
"124","Zach Britton","pitcher","3240",65,3.22,1.24,37,3,56,3.48,9.81
"227","Chris Archer","pitcher","6345",182,3.68,1.29,0,11,161,3.42,9.65
"237","Yordano Ventura","pitcher","11855",174,3.68,1.29,0,12,153,3.41,9.62
"116","Danny Salazar","pitcher","5867",145,3.63,1.21,0,10,158,3.31,9.33
"146","Jake Arrieta","pitcher","4153",163,3.63,1.25,0,10,158,3.28,9.25
"239","Michael Pineda","pitcher","5372",170,3.76,1.2,0,10,140,3.27,9.22
"188","Mat Latos","pitcher","3815",192,3.74,1.26,0,10,148,3.23,9.11
"62","Carlos Carrasco","pitcher","6632",162,3.61,1.22,0,9,153,3.19,9
"316","Derek Holland","pitcher","4141",195,4.03,1.28,0,11,165,3.19,8.98
"15","David Robertson","pitcher","8241",65,2.93,1.13,25,4,84,3.14,8.84
"84","Jacob deGrom","pitcher","10954",165,3.57,1.23,0,9,149,3.13,8.83
"113","Michael Wacha","pitcher","14078",149,3.43,1.2,0,9,137,3.04,8.56
"279","Matt Cain","pitcher","4732",168,3.7,1.21,0,9,142,3.03,8.54
"212","Jose Quintana","pitcher","11423",184,3.89,1.28,0,10,152,2.79,7.85
"340","Matt Garza","pitcher","3340",186,4.03,1.27,0,10,155,2.74,7.73
