"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Anthony Rendon","Nationals","150","630","560","156","35","5","19","88","74","56","104","6","11","4",".278",".347",".459",".807",".354","3.8","0.1","4.9","12861"
"Robinson Cano","Mariners","150","630","566","168","36","2","17","76","81","53","78","6","6","3",".297",".361",".457",".818",".353","1.8","-0.3","5.0","3269"
"Neil Walker","Pirates","108","455","406","109","22","2","14","55","57","38","75","7","3","2",".270",".340",".438",".778",".343","-2.8","-0.6","2.5","7539"
"Matt Carpenter","Cardinals","142","595","512","141","32","3","9","79","53","67","94","7","4","3",".275",".363",".404",".767",".342","-2.0","-0.8","3.3","8090"
"Mookie Betts","Red Sox","88","371","332","91","20","2","8","49","38","33","48","2","16","6",".275",".343",".416",".759",".337","0.6","0.6","2.0","13611"
"Ben Zobrist","Athletics","142","595","516","136","32","3","12","76","59","68","83","3","9","4",".264",".350",".408",".758",".336","3.4","-0.4","4.1","7435"
"Jose Altuve","Astros","150","630","584","178","35","3","8","77","55","34","61","4","37","13",".304",".344",".415",".759",".334","-5.5","2.0","3.3","5417"
"Dustin Pedroia","Red Sox","150","630","565","159","34","1","10","77","63","56","73","3","11","6",".281",".345",".399",".745",".330","12.1","-0.5","4.4","8370"
"Ian Kinsler","Tigers","150","630","573","154","33","3","15","81","67","42","68","6","14","6",".268",".323",".413",".736",".325","6.2","-0.3","3.9","6195"
"Howie Kendrick","Dodgers","133","560","515","146","27","4","10","61","63","34","93","5","10","5",".283",".330",".408",".738",".324","1.8","-0.3","2.8","4229"
"Chase Utley","Phillies","133","560","499","129","26","5","13","64","64","45","77","10","8","2",".258",".328",".406",".734",".321","3.5","0.3","2.8","1679"
"Jason Kipnis","Indians","142","595","527","134","27","2","12","72","62","57","114","3","22","6",".254",".329",".385",".714",".318","-5.0","1.4","2.5","9776"
"Brian Dozier","Twins","150","630","555","134","29","2","16","80","63","60","118","6","16","7",".242",".320",".391",".711",".317","-0.7","-0.3","2.7","9810"
"Daniel Murphy","Mets","142","595","554","156","33","2","9","71","59","33","79","2","11","4",".282",".321",".398",".720",".317","-8.7","0.0","1.7","4316"
"Marcus Semien","Athletics","142","595","528","126","26","4","17","72","67","56","120","5","10","4",".238",".315",".395",".710",".316","-7.1","-0.1","2.3","12533"
"Tommy La Stella","Cubs","58","245","218","59","12","1","2","24","23","21","26","2","2","1",".269",".337",".367",".704",".315","-1.5","-0.2","0.6","12371"
"Rougned Odor","Rangers","142","595","554","145","24","7","15","64","68","25","105","7","15","9",".262",".301",".416",".716",".314","-2.1","-1.0","1.7","12282"
"Scooter Gennett","Brewers","132","555","518","144","27","3","10","61","55","25","84","2","8","5",".278",".312",".403",".715",".314","-0.4","-0.7","1.6","10339"
"Aaron Hill","Diamondbacks","125","525","481","124","26","3","12","56","57","33","78","5","5","4",".258",".309",".400",".709",".313","-3.0","-0.9","1.1","6104"
"Javier Baez","Cubs","133","560","516","117","24","3","26","73","72","32","177","5","14","7",".228",".278",".436",".714",".312","-3.5","0.0","1.4","12979"
"Derek Dietrich","Marlins","24","100","91","22","4","1","3","12","11","5","23","3","1","0",".238",".300",".403",".703",".311","-0.5","-0.1","0.3","10542"
"Daniel Descalso","Rockies","73","308","274","71","16","2","3","33","29","26","52","3","5","3",".260",".328",".368",".696",".309","-2.8","-0.5","0.1","8392"
"Jedd Gyorko","Padres","138","581","530","127","25","1","19","65","70","43","129","4","4","2",".239",".299",".397",".696",".308","-3.2","-0.6","1.7","10816"
"Arismendy Alcantara","Cubs","72","301","278","67","14","3","8","35","33","18","77","1","11","4",".243",".290",".408",".698",".307","0.2","0.4","0.8","10711"
"Kolten Wong","Cardinals","125","525","485","126","20","4","11","59","50","29","77","4","19","7",".261",".307",".387",".694",".306","2.9","0.8","2.1","12532"
"DJ LeMahieu","Rockies","133","560","518","146","23","5","5","53","49","30","90","2","14","9",".281",".321",".374",".695",".306","5.5","-1.0","1.0","9874"
"Brandon Phillips","Reds","125","525","485","126","23","1","12","56","60","27","76","6","5","3",".261",".306",".385",".690",".305","6.3","-0.7","2.0","791"
"Rickie Weeks","Mariners","65","273","241","54","12","1","7","30","24","25","73","5","5","2",".224",".309",".362",".670",".302","-2.4","-0.1","0.2","1849"
"Alberto Callaspo","Braves","136","571","506","127","22","0","8","52","53","56","61","2","3","2",".251",".325",".345",".670",".301","-2.7","-0.8","0.9","3336"
"Omar Infante","Royals","125","525","490","133","22","3","7","52","50","25","59","2","7","3",".271",".306",".372",".679",".299","0.0","-0.3","1.4","1609"
"Nick Franklin","Rays","125","525","469","110","21","2","11","56","50","47","120","2","9","4",".234",".305",".362",".667",".298","-0.8","0.0","1.7","10166"
"Jose Pirela","Yankees","25","105","97","24","4","1","2","12","10","5","16","1","2","1",".250",".294",".377",".671",".297","-0.2","0.0","0.2","5485"
"Johnny Giavotella","Angels","42","175","161","41","8","1","2","18","17","11","21","1","3","2",".257",".308",".357",".665",".295","-0.8","-0.1","0.5","6740"
"Cliff Pennington","Diamondbacks","90","380","341","84","15","3","4","38","28","31","71","3","7","3",".247",".313",".345",".659",".295","0.3","-0.1","0.8","3395"
"Dee Gordon","Marlins","133","560","517","139","18","9","2","69","36","33","93","4","48","16",".269",".315",".346",".661",".295","-1.6","2.9","1.3","8203"
"Grant Green","Angels","45","189","177","45","9","1","3","19","20","8","38","1","2","2",".256",".293",".373",".666",".295","-0.8","-0.4","0.5","10053"
"Jonathan Schoop","Orioles","125","525","491","114","20","0","19","58","58","21","115","7","3","2",".233",".273",".392",".665",".294","2.7","-0.4","1.4","11265"
"Gordon Beckham","White Sox","92","385","352","85","19","0","8","42","35","23","61","5","3","1",".243",".296",".365",".661",".294","-1.1","-0.1","0.6","9015"
"Dilson Herrera","Mets","8","35","32","8","1","0","1","4","4","2","8","0","1","0",".239",".288",".373",".661",".293","0.0","0.0","0.1","14335"
"Ryan Flaherty","Orioles","33","140","128","29","6","0","4","14","16","9","32","2","1","0",".228",".286",".376",".662",".293","-0.1","-0.1","0.3","7888"
"Maicer Izturis","Blue Jays","93","392","359","91","18","1","5","38","30","25","46","2","7","3",".254",".305",".347",".652",".292","-3.9","-0.2","0.3","2437"
