"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Troy Tulowitzki","Rockies","133","560","489","150","28","2","27","80","85","61","86","5","3","2",".307",".386",".539",".925",".400","5.0","-0.7","5.8","3531"
"Hanley Ramirez","Red Sox","128","539","479","135","33","1","17","73","74","51","98","5","14","6",".281",".355",".462",".817",".359","1.8","0.1","3.4","8001"
"Ian Desmond","Nationals","150","630","578","152","30","3","20","71","79","41","154","5","21","8",".263",".315",".430",".745",".328","-1.4","0.8","3.4","6885"
"Jose Reyes","Blue Jays","142","595","545","155","31","4","10","78","51","41","62","1","23","7",".284",".333",".410",".744",".327","-7.4","1.6","2.7","1736"
"Jhonny Peralta","Cardinals","142","595","538","140","32","1","16","60","67","48","110","4","3","2",".261",".324",".413",".737",".326","2.9","-0.8","3.4","1738"
"Starlin Castro","Cubs","142","595","554","155","32","3","13","63","65","33","97","5","9","6",".279",".323",".417",".740",".325","-4.1","-0.8","2.4","4579"
"Xander Bogaerts","Red Sox","147","616","556","145","30","3","16","71","63","45","130","7","5","3",".260",".320",".411",".732",".324","-6.1","-0.7","2.5","12161"
"Jed Lowrie","Astros","133","560","503","129","29","2","12","60","55","46","86","4","1","0",".257",".322",".392",".713",".315","-6.1","-0.4","2.0","4418"
"Javier Baez","Cubs","133","560","516","117","24","3","26","73","72","32","177","5","14","7",".228",".278",".436",".714",".312","-3.5","0.0","1.4","12979"
"Yunel Escobar","Nationals","130","546","492","132","22","1","8","50","50","43","61","4","3","2",".269",".330",".365",".696",".311","-1.4","-0.7","1.6","4191"
"Daniel Descalso","Rockies","73","308","274","71","16","2","3","33","29","26","52","3","5","3",".260",".328",".368",".696",".309","-2.8","-0.5","0.1","8392"
"Wilmer Flores","Mets","129","540","505","130","25","3","16","60","66","24","78","3","2","2",".257",".293",".413",".705",".308","-3.5","-0.8","1.8","5827"
"Brad Miller","Mariners","95","399","361","90","15","3","9","48","41","31","80","2","6","3",".249",".308",".387",".696",".308","-0.7","-0.3","1.7","12775"
"Asdrubal Cabrera","Rays","142","595","534","130","28","3","13","67","61","45","107","7","9","4",".244",".309",".383",".692",".307","-7.1","-0.1","2.0","4962"
"Erick Aybar","Angels","150","630","585","159","32","4","8","69","63","30","66","5","15","7",".272",".311",".381",".692",".305","-1.1","-0.2","2.9","4082"
"Jean Segura","Brewers","125","525","486","131","18","6","8","57","46","26","68","5","24","10",".270",".312",".381",".693",".305","0.0","0.7","1.8","5933"
"Chris Owings","Diamondbacks","92","385","364","96","18","4","7","41","36","15","72","2","10","3",".263",".295",".395",".690",".304","1.3","0.4","1.3","10030"
"Addison Russell","Cubs","8","35","32","8","2","0","1","4","4","2","8","0","1","0",".239",".294",".390",".683",".303","0.1","0.0","0.1","sa657862"
"Elvis Andrus","Rangers","150","630","567","153","27","3","3","71","49","47","87","4","28","11",".270",".327",".346",".673",".303","2.2","0.7","2.6","8709"
"Jordy Mercer","Pirates","107","450","411","105","23","2","9","46","45","28","76","4","4","2",".254",".305",".387",".693",".302","-0.9","-0.6","1.4","6547"
"J.J. Hardy","Orioles","133","560","521","132","25","0","14","57","59","30","87","2","1","0",".254",".296",".386",".682",".301","6.8","-0.5","2.6","3797"
"Alexei Ramirez","White Sox","150","630","593","159","31","2","10","68","62","25","74","5","18","7",".268",".301",".379",".680",".301","0.9","0.4","2.3","5133"
"Danny Santana","Twins","117","490","459","122","22","5","6","56","40","20","100","4","18","8",".266",".301",".374",".675",".299","-1.2","0.1","1.5","10322"
"Jimmy Rollins","Dodgers","142","595","536","128","24","3","13","71","53","51","90","1","20","7",".239",".305",".366",".671",".298","1.0","1.0","2.3","971"
"Eugenio Suarez","Reds","45","189","171","41","8","1","4","19","17","13","43","2","3","2",".238",".299",".368",".666",".297","0.6","-0.4","0.5","12552"
"Dean Anna","Cardinals","25","105","93","22","4","1","1","12","9","9","15","1","1","1",".238",".314",".346",".659",".297","0.0","-0.2","0.2","8353"
"Andrelton Simmons","Braves","153","644","595","152","26","5","11","62","59","38","63","3","7","6",".256",".301",".370",".671",".296","19.8","-1.2","3.9","10847"
"Didi Gregorius","Yankees","83","350","318","78","13","3","6","37","32","23","57","4","3","2",".246",".304",".364",".668",".296","0.5","-0.5","1.1","6012"
"Chris Taylor","Mariners","83","350","316","81","15","2","3","38","28","26","77","3","12","5",".255",".316",".343",".659",".296","1.3","0.2","1.5","13757"
"Cliff Pennington","Diamondbacks","90","380","341","84","15","3","4","38","28","31","71","3","7","3",".247",".313",".345",".659",".295","0.3","-0.1","0.8","3395"
"Eduardo Escobar","Twins","58","245","227","58","13","1","3","25","22","13","49","1","2","1",".255",".298",".367",".665",".295","-0.8","-0.3","0.6","6153"
"Brandon Crawford","Giants","142","595","530","126","24","6","9","57","60","52","123","4","4","3",".238",".308",".360",".668",".294","3.5","-0.9","2.3","5343"
"Eduardo Nunez","Twins","47","196","183","47","8","2","3","21","18","9","30","1","8","3",".256",".292",".367",".659",".291","-3.2","0.4","0.2","6848"
"Jose Ramirez","Indians","115","483","444","114","19","3","6","53","40","27","56","1","21","11",".257",".300",".353",".653",".290","3.2","-0.3","1.8","13510"
"Everth Cabrera","Orioles","50","210","189","47","8","1","2","25","14","16","43","1","13","4",".251",".310",".333",".643",".289","-0.9","0.8","0.5","8155"
"Stephen Drew","Yankees","108","455","406","88","21","3","11","44","46","43","114","1","3","2",".216",".290",".362",".652",".289","2.4","-0.4","0.9","4251"
"Alcides Escobar","Royals","150","630","590","156","29","5","4","66","52","24","86","5","26","6",".265",".298",".352",".649",".288","1.6","2.3","2.1","6310"
"Tyler Saladino","White Sox","8","35","32","7","1","0","1","4","3","3","7","0","1","0",".231",".294",".348",".642",".288","0.0","0.0","0.1","sa503153"
"Adam Rosales","Rangers","53","224","205","48","9","1","4","23","21","14","49","2","2","1",".235",".290",".351",".641",".287","-0.2","-0.2","0.2","9682"
"Willie Bloomquist","Mariners","37","154","144","39","6","1","1","15","13","6","26","1","1","1",".268",".302",".341",".643",".285","-1.9","-0.4","0.0","1066"
"Ruben Tejada","Mets","58","245","218","54","10","0","2","21","19","20","37","3","2","1",".246",".315",".320",".635",".285","0.4","-0.3","0.6","5519"
"Matt Duffy","Giants","23","95","87","21","4","1","1","9","9","6","17","1","3","1",".248",".302",".332",".634",".284","0.0","0.0","0.2","13836"
"Josh Rutledge","Angels","130","546","502","118","24","4","9","55","48","28","130","8","10","5",".236",".285",".354",".638",".284","-4.5","-0.1","0.7","11167"
"Marwin Gonzalez","Astros","30","126","117","29","6","0","2","13","10","6","21","1","2","1",".245",".287",".348",".636",".283","-0.2","-0.2","0.2","5497"
"Zack Cozart","Reds","108","455","422","102","20","3","8","45","40","22","74","3","4","1",".241",".282",".358",".640",".282","5.6","0.1","1.3","2616"
"Freddy Galvis","Phillies","108","455","424","98","21","4","10","42","47","21","87","2","4","2",".232",".270",".372",".642",".282","-0.9","-0.3","0.6","6609"
"Jose Iglesias","Tigers","125","525","483","123","17","2","5","49","42","25","76","7","10","5",".255",".299",".325",".625",".281","4.0","-0.4","1.3","10231"
"Jorge Polanco","Twins","8","35","32","8","1","0","0","3","3","2","6","0","1","0",".242",".288",".343",".631",".281","0.0","-0.1","0.1","13152"
"Francisco Lindor","Indians","50","210","193","46","7","1","4","22","19","13","39","1","7","4",".238",".287",".343",".630",".281","0.6","-0.3","0.5","sa597754"
"Mike Aviles","Indians","65","273","255","63","12","1","5","28","29","10","37","1","7","4",".246",".276",".357",".634",".280","-0.9","-0.2","0.3","5986"
"Jonathan Villar","Astros","13","56","50","11","2","0","1","6","5","4","16","0","3","1",".221",".285",".340",".625",".280","-0.7","0.2","0.1","10071"
"Adeiny Hechavarria","Marlins","150","630","587","149","22","8","4","53","51","31","103","2","9","6",".253",".291",".342",".633",".279","-3.3","-1.1","0.4","10459"
"Ramon Santiago","Blue Jays","15","63","56","13","2","0","1","6","5","5","11","1","0","0",".230",".301",".314",".614",".279","-0.3","-0.1","0.0","1417"
"Luis Sardinas","Brewers","50","210","198","51","9","1","1","19","16","8","31","1","6","3",".259",".290",".332",".622",".277","-0.6","-0.1","0.0","13153"
"Alexi Amarista","Padres","112","469","433","105","19","4","6","45","43","26","69","2","8","4",".242",".285",".343",".628",".277","-1.6","-0.1","0.7","9063"
"Jose Peraza","Braves","13","56","53","13","2","1","0","5","4","2","8","0","4","2",".255",".284",".337",".621",".275","0.2","0.1","0.1","sa596851"
"Nick Ahmed","Diamondbacks","33","140","130","31","6","1","1","13","11","7","22","1","4","2",".237",".281",".330",".611",".272","0.6","-0.1","0.1","12147"
"Dixon Machado","Tigers","7","28","25","6","1","0","0","3","2","2","4","0","0","0",".230",".288",".313",".601",".271","0.2","0.0","0.0","sa505035"
"Tim Beckham","Rays","8","35","32","7","1","0","0","3","3","2","8","0","1","0",".232",".279",".322",".600",".269","-0.1","0.0","0.0","7949"
"Pete Kozma","Cardinals","67","280","254","57","13","1","3","26","25","20","51","2","4","2",".223",".283",".319",".602",".268","2.3","-0.3","0.2","2539"
"Hector Gomez","Brewers","8","35","33","7","1","0","1","3","3","1","8","0","0","0",".220",".255",".350",".605",".267","-0.1","-0.1","0.0","2264"
