"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Miguel Cabrera","Tigers","143","602","529","165","35","1","29","85","100","64","97","3","2","1",".312",".386",".545",".931",".399","0.1","-0.5","5.0","1744"
"Adrian Beltre","Rangers","150","630","575","172","31","1","23","78","85","45","79","5","1","1",".298",".352",".478",".830",".359","6.1","-0.7","5.0","639"
"Josh Donaldson","Blue Jays","150","630","559","148","31","2","26","82","90","59","122","6","6","2",".265",".339",".470",".810",".355","9.6","-0.3","5.5","5038"
"Anthony Rendon","Nationals","150","630","560","156","35","5","19","88","74","56","104","6","11","4",".278",".347",".459",".807",".354","3.8","0.1","4.9","12861"
"Pablo Sandoval","Red Sox","142","595","543","155","32","3","19","73","84","41","84","4","0","1",".285",".337",".458",".795",".346","-0.1","-0.7","3.5","5409"
"Ryan Zimmerman","Nationals","133","560","501","138","28","2","18","68","77","51","104","2","4","2",".275",".341",".446",".788",".346","6.2","-0.4","2.9","4220"
"Nolan Arenado","Rockies","150","630","585","167","40","3","20","71","80","33","79","4","3","2",".285",".326",".465",".791",".345","12.0","-0.8","3.8","9777"
"Matt Carpenter","Cardinals","142","595","512","141","32","3","9","79","53","67","94","7","4","3",".275",".363",".404",".767",".342","-2.0","-0.8","3.3","8090"
"David Wright","Mets","133","560","499","137","28","3","14","65","67","52","102","4","10","5",".275",".346",".425",".771",".338","2.4","-0.4","3.7","3787"
"Evan Longoria","Rays","150","630","557","142","29","2","24","77","83","60","129","6","3","1",".255",".331",".443",".774",".337","6.4","-0.5","4.8","9368"
"Chase Headley","Yankees","142","595","521","133","26","1","19","72","71","62","144","8","8","4",".255",".341",".417",".757",".336","7.0","-0.4","4.0","4720"
"Aramis Ramirez","Brewers","125","525","480","131","25","1","17","56","71","30","80","11","2","1",".272",".327",".435",".762",".336","-4.2","-0.3","1.9","1002"
"Todd Frazier","Reds","131","550","495","125","24","2","22","68","71","43","118","7","11","6",".253",".319",".443",".762",".335","1.8","-0.4","3.1","785"
"Kyle Seager","Mariners","150","630","566","148","29","3","20","74","81","52","112","7","8","5",".262",".328",".431",".759",".335","2.1","-0.7","4.0","9785"
"Manny Machado","Orioles","142","595","551","153","33","2","18","70","64","32","96","3","6","3",".278",".320",".442",".762",".334","16.0","-0.7","5.0","11493"
"Lonnie Chisenhall","Indians","117","490","447","119","25","1","15","57","59","31","93","6","3","1",".267",".321",".429",".750",".330","-5.1","-0.3","2.2","7571"
"Josh Harrison","Pirates","139","585","546","153","34","7","12","75","59","24","83","7","19","8",".281",".317",".434",".751",".330","1.5","0.2","3.3","8202"
"Nick Castellanos","Tigers","132","553","509","139","29","3","15","56","65","35","110","3","3","2",".272",".320",".428",".747",".328","-9.7","-0.6","1.4","11737"
"Pedro Alvarez","Pirates","131","550","492","116","21","2","26","61","76","51","158","3","5","2",".236",".309",".442",".751",".327","-1.1","-0.3","1.4","2495"
"Trevor Plouffe","Twins","125","525","473","119","27","2","16","58","64","42","104","5","2","2",".251",".316",".418",".734",".324","-3.6","-0.7","1.8","7462"
"Justin Turner","Dodgers","91","381","345","96","21","1","6","40","40","26","62","5","5","2",".277",".335",".394",".729",".324","-2.2","-0.1","1.6","5235"
"Xander Bogaerts","Red Sox","147","616","556","145","30","3","16","71","63","45","130","7","5","3",".260",".320",".411",".732",".324","-6.1","-0.7","2.5","12161"
"Brett Lawrie","Athletics","133","560","509","131","25","2","16","61","65","38","90","8","8","4",".258",".318",".411",".728",".323","4.9","-0.3","3.4","5247"
"Martin Prado","Marlins","150","630","579","160","31","3","10","65","65","40","71","4","5","3",".277",".326",".396",".721",".319","1.8","-0.7","2.6","3312"
"Luis Valbuena","Astros","90","378","331","79","18","2","10","43","40","41","80","2","2","2",".237",".323",".394",".717",".318","0.2","-0.7","1.7","4969"
"Cody Asche","Phillies","114","480","439","112","24","2","13","51","55","33","106","3","4","2",".255",".309",".410",".719",".316","-2.6","-0.5","1.4","11997"
"Marcus Semien","Athletics","142","595","528","126","26","4","17","72","67","56","120","5","10","4",".238",".315",".395",".710",".316","-7.1","-0.1","2.3","12533"
"David Freese","Angels","133","560","502","128","24","1","12","56","61","46","130","7","2","2",".255",".323",".381",".704",".315","-6.0","-0.9","1.8","9549"
"Mark Reynolds","Cardinals","60","250","218","47","9","0","10","28","30","28","71","2","2","1",".216",".308",".399",".708",".315","-0.9","-0.3","0.4","7619"
"Jacob Lamb","Diamondbacks","58","245","223","55","13","1","7","26","28","17","65","2","2","1",".247",".304",".410",".713",".314","0.2","-0.2","0.8","13329"
"Conor Gillaspie","White Sox","117","490","445","114","21","3","11","52","53","38","80","2","2","2",".256",".316",".395",".711",".313","-3.3","-1.0","0.9","9009"
"Maikel Franco","Phillies","119","500","473","119","25","3","18","59","60","20","79","3","2","2",".251",".283",".428",".711",".311","-0.4","-0.5","1.1","12179"
"Mike Moustakas","Royals","133","560","512","125","29","1","17","58","63","37","93","5","3","2",".245",".299",".407",".706",".311","3.4","-0.6","2.3","4892"
"Alex Rodriguez","Yankees","92","385","340","78","15","0","12","45","47","36","95","5","5","3",".231",".311",".386",".697",".310","-0.1","-0.3","0.1","1274"
"Josh Satin","Reds","15","65","57","14","3","0","1","7","6","7","15","0","0","0",".241",".322",".365",".687",".309","-0.2","-0.1","0.1","6788"
"Garin Cecchini","Red Sox","7","28","25","6","1","0","0","3","3","2","6","0","1","0",".257",".324",".366",".690",".309","-0.1","0.0","0.1","11608"
"Daniel Descalso","Rockies","73","308","274","71","16","2","3","33","29","26","52","3","5","3",".260",".328",".368",".696",".309","-2.8","-0.5","0.1","8392"
"Wilmer Flores","Mets","129","540","505","130","25","3","16","60","66","24","78","3","2","2",".257",".293",".413",".705",".308","-3.5","-0.8","1.8","5827"
"Chris Johnson","Braves","108","455","427","114","23","1","9","40","50","21","110","3","3","1",".268",".305",".391",".696",".306","-7.4","-0.1","0.4","1191"
"Brock Holt","Red Sox","68","287","261","70","13","2","2","34","22","19","50","2","7","3",".268",".320",".358",".677",".303","-0.2","-0.2","0.5","9345"
"Casey McGehee","Giants","133","560","503","128","25","1","8","51","59","49","98","2","2","2",".255",".321",".355",".676",".303","-3.4","-0.8","1.3","6086"
"Eric Campbell","Mets","62","260","230","56","11","1","4","26","24","24","53","3","4","2",".243",".319",".349",".669",".302","0.0","-0.1","0.6","6938"
"Juan Uribe","Dodgers","117","490","457","118","23","1","12","46","61","25","97","3","2","1",".257",".297",".388",".686",".301","11.6","-0.6","2.6","454"
"Kelly Johnson","Braves","17","70","62","14","3","0","2","7","7","7","17","1","1","1",".224",".304",".370",".674",".301","-0.5","0.0","0.1","2234"
"Alberto Callaspo","Braves","136","571","506","127","22","0","8","52","53","56","61","2","3","2",".251",".325",".345",".670",".301","-2.7","-0.8","0.9","3336"
"Danny Valencia","Blue Jays","25","105","98","24","6","0","3","10","13","5","22","0","1","1",".246",".283",".402",".685",".301","-0.4","-0.2","0.1","6364"
"Yangervis Solarte","Padres","67","280","254","65","12","1","4","28","23","21","32","2","1","1",".254",".311",".359",".670",".299","-0.5","-0.3","0.7","5352"
"Charlie Culberson","Rockies","5","21","20","5","1","0","0","2","3","1","5","0","0","0",".254",".288",".393",".681",".299","0.0","0.0","0.0","3298"
"Mike Olt","Cubs","61","255","227","47","10","0","10","26","29","24","83","2","1","1",".206",".284",".384",".668",".297","0.2","-0.2","0.2","10698"
"Luis Jimenez","Brewers","50","210","198","49","11","1","6","22","23","7","37","2","4","2",".247",".278",".396",".674",".295","0.5","-0.1","0.2","6341"
"Rafael Ynoa","Rockies","12","51","47","12","2","0","0","5","5","3","8","0","1","1",".260",".306",".355",".661",".295","0.0","-0.1","0.0","2832"
"Ryan Flaherty","Orioles","33","140","128","29","6","0","4","14","16","9","32","2","1","0",".228",".286",".376",".662",".293","-0.1","-0.1","0.3","7888"
"Matt Davidson","White Sox","23","98","88","19","4","0","4","10","11","7","30","1","0","0",".212",".281",".376",".657",".292","-0.1","-0.1","0.1","7226"
"Maicer Izturis","Blue Jays","93","392","359","91","18","1","5","38","30","25","46","2","7","3",".254",".305",".347",".652",".292","-3.9","-0.2","0.3","2437"
"Christian Colon","Royals","60","252","231","60","9","1","4","26","22","14","26","2","6","3",".258",".304",".349",".653",".292","-0.3","-0.1","0.5","11145"
"Matt Dominguez","Astros","83","350","324","76","14","1","11","35","40","19","63","3","0","1",".235",".280",".377",".658",".290","-0.8","-0.4","0.5","4903"
"Chris Nelson"," ","42","175","161","39","7","1","3","17","18","11","39","1","1","1",".243",".293",".357",".650",".288","-1.4","-0.3","0.1","8175"
"Will Middlebrooks","Padres","92","385","357","81","14","1","12","34","40","21","98","3","3","1",".227",".275",".372",".647",".286","-0.3","-0.1","0.6","7002"
"Steve Tolleson","Blue Jays","15","63","57","13","3","0","1","6","6","5","15","0","1","1",".235",".295",".340",".636",".285","-0.2","0.0","0.0","4450"
"Ryan Wheeler","Rockies","11","45","42","10","2","0","1","4","5","2","10","0","0","0",".243",".284",".363",".646",".285","0.0","-0.1","-0.1","9312"
"Freddy Galvis","Phillies","108","455","424","98","21","4","10","42","47","21","87","2","4","2",".232",".270",".372",".642",".282","-0.9","-0.3","0.6","6609"
"Jose Iglesias","Tigers","125","525","483","123","17","2","5","49","42","25","76","7","10","5",".255",".299",".325",".625",".281","4.0","-0.4","1.3","10231"
"Mike Aviles","Indians","65","273","255","63","12","1","5","28","29","10","37","1","7","4",".246",".276",".357",".634",".280","-0.9","-0.2","0.3","5986"
"Ramon Santiago","Blue Jays","15","63","56","13","2","0","1","6","5","5","11","1","0","0",".230",".301",".314",".614",".279","-0.3","-0.1","0.0","1417"
"Jimmy Paredes","Orioles","33","140","133","32","6","1","3","15","14","5","35","0","5","2",".240",".271",".361",".632",".278","-0.5","0.1","0.0","5481"
"Cory Spangenberg","Padres","25","105","98","24","4","2","1","10","9","5","24","1","4","2",".243",".280",".343",".624",".276","-0.6","-0.2","0.0","12294"
"Jace Peterson","Braves","67","280","251","57","10","3","2","28","22","23","51","2","12","5",".229",".295",".316",".611",".276","-0.4","0.1","0.1","12325"
"Joaquin Arias","Giants","56","235","222","56","10","1","2","20","21","8","31","2","2","1",".254",".282",".333",".615",".270","0.2","-0.1","0.2","3817"
"Kristopher Negron","Reds","72","301","277","59","12","2","6","29","26","15","81","4","7","2",".214",".265",".336",".601",".269","-0.2","0.4","0.0","5306"
"Hector Gomez","Brewers","8","35","33","7","1","0","1","3","3","1","8","0","0","0",".220",".255",".350",".605",".267","-0.1","-0.1","0.0","2264"
